1904,100yds Freestyle Men,Zolt n von Halmay,GOLD,HUN,62.8
1904,100yds Freestyle Men,Charles Daniels,SILVER,USA,0
1904,100yds Freestyle Men,Scott Leary,BRONZE,USA,0
1908,100m Freestyle Men,Charles Daniels,GOLD,USA,65.6
1908,100m Freestyle Men,Zolt n von Halmay,SILVER,HUN,66.2
1908,100m Freestyle Men,Harald Julin,BRONZE,SWE,68
1912,100m Freestyle Men,Duke Kahanamoku,GOLD,USA,63.4
1912,100m Freestyle Men,Cecil Healy,SILVER,ANZ,64.6
1912,100m Freestyle Men,Ken Huszagh,BRONZE,USA,65.6
1920,100m Freestyle Men,Duke Kahanamoku,GOLD,USA,60.4
1920,100m Freestyle Men,Pua Kealoha,SILVER,USA,62.2
1920,100m Freestyle Men,William Harris,BRONZE,USA,63.2
1924,100m Freestyle Men,Johnny Weissmuller,GOLD,USA,59
1924,100m Freestyle Men,Duke Kahanamoku,SILVER,USA,61.4
1924,100m Freestyle Men,Samuel Kahanamoku,BRONZE,USA,61.8
1928,100m Freestyle Men,Johnny Weissmuller,GOLD,USA,58.6
1928,100m Freestyle Men,Istv n B r ny,SILVER,HUN,59.8
1928,100m Freestyle Men,Katsuo Takaishi,BRONZE,JPN,60
1932,100m Freestyle Men,Yasuji Miyazaki,GOLD,JPN,58.2
1932,100m Freestyle Men,Tatsugo Kawaishi,SILVER,JPN,58.6
1932,100m Freestyle Men,Albert Schwartz,BRONZE,USA,58.8
1936,100m Freestyle Men,Ferenc Csik,GOLD,HUN,57.6
1936,100m Freestyle Men,Masonori Yusa,SILVER,JPN,57.9
1936,100m Freestyle Men,Shigeo Arai,BRONZE,JPN,58
1948,100m Freestyle Men,Walter Ris,GOLD,USA,57.3
1948,100m Freestyle Men,Alan Ford,SILVER,USA,57.8
1948,100m Freestyle Men,G‚za K das,BRONZE,HUN,58.1
1952,100m Freestyle Men,Clarke Scholes,GOLD,USA,57.4
1952,100m Freestyle Men,Hiroshi Suzuki,SILVER,JPN,57.4
1952,100m Freestyle Men,G”ran Larsson,BRONZE,SWE,58.2
1956,100m Freestyle Men,Jon Henricks,GOLD,AUS,55.4
1956,100m Freestyle Men,John Devitt,SILVER,AUS,55.8
1956,100m Freestyle Men,Gary Chapman,BRONZE,AUS,56.7
1960,100m Freestyle Men,John Devitt,GOLD,AUS,55.2
1960,100m Freestyle Men,Lance Larson,SILVER,USA,55.2
1960,100m Freestyle Men,Manuel dos Santos,BRONZE,BRA,55.4
1964,100m Freestyle Men,Don Schollander,GOLD,USA,53.4
1964,100m Freestyle Men,Robert McGregor,SILVER,GBR,53.5
1964,100m Freestyle Men,Hans-Joachim Klein,BRONZE,GER,54
1968,100m Freestyle Men,Michael Wenden,GOLD,AUS,52.2
1968,100m Freestyle Men,Kenneth Walsh,SILVER,USA,52.8
1968,100m Freestyle Men,Mark Spitz,BRONZE,USA,53
1972,100m Freestyle Men,Mark Spitz,GOLD,USA,51.22
1972,100m Freestyle Men,Jerry Heidenreich,SILVER,USA,51.65
1972,100m Freestyle Men,Vladimir Bure,BRONZE,URS,51.77
1976,100m Freestyle Men,Jim Montgomery,GOLD,USA,49.99
1976,100m Freestyle Men,Jack Babashoff,SILVER,USA,50.81
1976,100m Freestyle Men,Peter Nocke,BRONZE,FRG,51.31
1980,100m Freestyle Men,J”rg Woithe,GOLD,GDR,50.4
1980,100m Freestyle Men,Per Holmertz,SILVER,SWE,50.91
1980,100m Freestyle Men,Per Johansson,BRONZE,SWE,51.29
1984,100m Freestyle Men,Ambrose Gaines,GOLD,USA,49.8
1984,100m Freestyle Men,Mark Stockwell,SILVER,AUS,50.24
1984,100m Freestyle Men,Per Johansson,BRONZE,SWE,50.31
1988,100m Freestyle Men,Matt Biondi,GOLD,USA,48.63
1988,100m Freestyle Men,Chris Jacobs,SILVER,USA,49.08
1988,100m Freestyle Men,Stephan Caron,BRONZE,FRA,49.62
1992,100m Freestyle Men,Aleksandr Popov,GOLD,URS,49.02
1992,100m Freestyle Men,Gustavo Fran‡a Borges,SILVER,BRA,49.43
1992,100m Freestyle Men,Stephan Caron,BRONZE,FRA,49.5
1996,100m Freestyle Men,Aleksandr Popov,GOLD,RUS,48.74
1996,100m Freestyle Men,Gary Hall Jr.,SILVER,USA,48.81
1996,100m Freestyle Men,Gustavo Fran‡a Borges,BRONZE,BRA,49.02
2000,100m Freestyle Men,Pieter van den Hoogenband,GOLD,NED,48.3
2000,100m Freestyle Men,Aleksandr Popov,SILVER,RUS,48.69
2000,100m Freestyle Men,Gary Hall Jr.,BRONZE,USA,48.73
2004,100m Freestyle Men,Pieter van den Hoogenband,GOLD,NED,48.17
2004,100m Freestyle Men,Roland Schoeman,SILVER,RSA,48.23
2004,100m Freestyle Men,Ian Thorpe,BRONZE,AUS,48.56
2008,100m Freestyle Men,Alain Bernard,GOLD,FRA,47.21
2008,100m Freestyle Men,Eamon Sullivan,SILVER,AUS,47.32
2008,100m Freestyle Men,Cesar CieloFilho,BRONZE,BRA,47.67
2008,100m Freestyle Men,Jason Lezak,BRONZE,USA,47.67
